Datetime,Cr_sum_disp_ext1,Cr_sum_disp_ext2,CDD_Step_roof,CDD_Step_facade,Air_Temp_roof,Air_Temp_facade,RT_Delta,Cr_disp_ext1,Cr_disp_ext2
2019-04-15,0.0,-1.0,12.341041666666666,12.794375000000002,30.341041666666666,30.341041666666666,0.24583333333333357,0.0,-1.0
2019-04-16,-1.0,0.0,10.111874999999998,13.019583333333333,28.111874999999998,28.111874999999998,0.18333333333333002,-1.0,1.0
2019-04-17,-1.0,-1.0,9.114583333333332,11.002083333333331,27.114583333333332,27.114583333333332,0.008000000000002672,0.0,-1.0
2019-04-18,-2.0,0.0,9.85083333333333,11.072708333333335,27.85083333333333,27.85083333333333,-0.008333333333336412,-1.0,1.0
2019-04-19,0.0,0.0,9.417291666666667,11.467916666666667,27.417291666666667,27.417291666666667,0.020833333333339255,2.0,0.0
2019-04-20,-1.0,4.0,8.470208333333332,11.197708333333335,26.470208333333332,26.470208333333332,0.04166666666666785,-1.0,4.0
2019-04-21,-1.0,4.0,9.312708333333333,9.386875,27.312708333333333,27.312708333333333,0.08333333333333215,0.0,0.0
2019-04-22,0.0,5.0,10.760625000000001,9.956041666666668,28.760625,28.760625,0.0625,1.0,1.0
2019-04-23,0.0,4.0,12.304374999999997,10.735208333333333,30.304374999999997,30.304374999999997,0.09583333333333144,0.0,-1.0
2019-04-24,1.0,4.0,13.348125,12.373750000000001,31.348125,31.348125,0.27083333333333215,1.0,0.0
2019-04-25,2.0,2.0,13.828958333333333,13.942499999999999,31.828958333333333,31.828958333333333,0.45833333333333215,1.0,-2.0
2019-04-26,3.0,-4.0,12.754166666666666,15.155000000000001,30.754166666666666,30.754166666666666,0.5374999999999979,1.0,-6.0
2019-04-27,4.0,-5.0,15.622500000000002,15.846666666666671,33.6225,33.6225,0.5250000000000021,1.0,-1.0
2019-04-28,4.0,-16.0,16.328541666666666,16.043541666666663,34.328541666666666,34.328541666666666,0.6124999999999972,0.0,-11.0
2019-04-29,4.0,-16.0,18.321875,16.611041666666665,36.321875,36.321875,0.720833333333335,0.0,0.0
2019-04-30,5.0,-21.0,19.023125,17.208958333333335,37.023125,37.023125,0.8666666666666707,1.0,-5.0
2019-05-01,5.0,-30.0,14.658124999999998,18.843125,32.658125,32.658125,1.1916666666666664,0.0,-9.0
2019-05-02,7.0,-36.0,14.241458333333334,19.690625000000004,32.241458333333334,32.241458333333334,1.404166666666665,2.0,-6.0
2019-05-03,-12.0,-39.0,17.765208333333334,19.172083333333333,35.765208333333334,35.765208333333334,1.2291666666666679,-19.0,-3.0
2019-05-04,-12.0,-39.0,16.234375,16.39416666666667,34.234375,34.234375,0.9083333333333314,0.0,0.0
2019-05-05,-12.0,-38.0,13.804374999999997,17.1875,31.804374999999997,31.804374999999997,0.9791666666666643,0.0,1.0
2019-05-06,-10.0,-41.0,12.276250000000001,19.569166666666668,30.27625,30.27625,1.3249999999999957,2.0,-3.0
2019-05-07,-11.0,-47.0,13.161458333333332,18.606875000000002,31.161458333333332,31.161458333333332,1.1999999999999993,-1.0,-6.0
2019-05-08,-11.0,-46.0,14.154583333333335,15.884374999999999,32.154583333333335,32.154583333333335,0.8833333333333364,0.0,1.0
2019-05-09,-11.0,-45.0,15.375416666666666,14.621874999999996,33.375416666666666,33.375416666666666,0.6791666666666636,0.0,1.0
2019-05-10,-11.0,-44.0,16.204166666666666,14.325833333333335,34.204166666666666,34.204166666666666,0.6041666666666679,0.0,1.0
2019-05-11,-10.0,-44.0,17.592083333333335,15.445625,35.592083333333335,35.592083333333335,0.7000000000000028,1.0,0.0
2019-05-12,-10.0,-45.0,18.187708333333333,16.911250000000003,36.18770833333333,36.18770833333333,0.9541666666666657,0.0,-1.0
2019-05-13,-26.0,-51.0,17.267083333333332,18.286875000000002,35.26708333333333,35.26708333333333,1.1916666666666629,-16.0,-6.0
2019-05-14,-26.0,-54.0,16.54145833333333,19.005833333333335,34.54145833333333,34.54145833333333,1.3541666666666679,0.0,-3.0
2019-05-15,-35.0,-63.0,16.624375,20.068958333333335,34.624375,34.624375,1.4958333333333336,-9.0,-9.0
2019-05-16,-34.0,-67.0,17.068958333333335,20.545833333333334,35.068958333333335,35.068958333333335,1.6333333333333293,1.0,-4.0
2019-05-17,-34.0,-70.0,18.68541666666667,19.455416666666665,36.68541666666667,36.68541666666667,1.5083333333333293,0.0,-3.0
2019-05-18,-35.0,-69.0,19.596875000000004,18.711666666666666,37.596875000000004,37.596875000000004,1.3625000000000043,-1.0,1.0
2019-05-19,-51.0,-78.0,19.882916666666667,19.162708333333335,37.88291666666667,37.88291666666667,1.3916666666666657,-16.0,-9.0
2019-05-20,-50.0,-79.0,20.253125000000004,19.142083333333332,38.253125000000004,38.253125000000004,1.4208333333333343,1.0,-1.0
2019-05-21,-50.0,-80.0,19.935833333333335,20.074999999999996,37.935833333333335,37.935833333333335,1.662500000000005,0.0,-1.0
2019-05-22,-64.0,-92.0,20.59166666666667,21.280625,38.59166666666667,38.59166666666667,1.962499999999995,-14.0,-12.0
2019-05-23,-63.0,-94.0,19.910625000000003,22.318333333333335,37.910625,37.910625,2.083333333333332,1.0,-2.0
2019-05-24,-62.0,-100.0,20.683541666666663,23.019375000000004,38.68354166666666,38.68354166666666,2.2333333333333343,1.0,-6.0
2019-05-25,-77.0,-107.0,20.856041666666663,22.942708333333336,38.85604166666666,38.85604166666666,2.279166666666665,-15.0,-7.0
2019-05-26,-89.0,-112.0,19.848958333333336,22.656041666666667,37.848958333333336,37.848958333333336,2.2041666666666657,-12.0,-5.0
